stage_no,date,departure,arrival,profile_type,finish_type,rider_rank,rider,rider_slug,model_score,projected_scorito_points,expected_finish_low,expected_finish_high,confidence,uncertainty,role_assumption,specialty_score,ranking_score,historical_similarity_score,recent_profile_evidence_score,recent_course_evidence_score,role_factor,evidence
1,22 August 2026,Monaco,Monaco,itt,tt,11,ROMEO Iván,ivan-romeo,0.40577,17.79,6,16,0.705,medium-high,inferred protected option,0.3202,0.308,0.0,0.7843,0.1895,1.045,"2026 #2 Volta Comunitat Valenciana (2.Pro) (itt; field 353/157; ProfileScore 0, 102vm, 23.8km; adjusted 0.307); 2026 #4 Tour de Pologne (2.UWT) (itt; field 462/141; ProfileScore 14, 179vm, 12.5km; adjusted 0.292)"
1,22 August 2026,Monaco,Monaco,itt,tt,12,KÜNG Stefan,stefan-kung,0.39196,16.65,7,17,0.662,medium-high,inferred protected option,0.4225,0.3024,0.0,0.7461,0.2746,1.045,"2026 #1 Tour de Pologne (2.UWT) (itt; field 462/141; ProfileScore 14, 179vm, 12.5km; adjusted 0.379); 2026 #5 Volta ao Algarve em Bicicleta (2.Pro) (itt; field 353/157; ProfileScore 0, 102vm, 23.8km; adjusted 0.236)"
1,22 August 2026,Monaco,Monaco,itt,tt,13,SKJELMOSE Mattias,mattias-skjelmose-jensen,0.37504,15.24,8,18,0.74,medium,inferred protected option,0.1613,0.2686,0.0,0.7395,0.2725,1.045,"2026 #3 Tour de France (2.UWT) (itt; field-class proxy 0.88; matched saved PCS/Scorito stage profile; adjusted 0.400); 2026 #4 Tour Auvergne - Rhône-Alpes (2.UWT) (itt; field 773/156; ProfileScore 32, 402vm, 28.4km; adjusted 0.348)"
1,22 August 2026,Monaco,Monaco,itt,tt,14,KLUCKERS Arthur,arthur-kluckers,0.30241,14.57,8,20,0.62,medium-high,inferred co-option,0.3484,0.2239,0.0,0.5958,0.358,1.0,"2026 #5 UAE Tour (2.UWT) (itt; field 353/157; ProfileScore 0, 102vm, 23.8km; adjusted 0.247); 2026 #6 Tour de Pologne (2.UWT) (itt; field 462/141; ProfileScore 14, 179vm, 12.5km; adjusted 0.245)"
1,22 August 2026,Monaco,Monaco,itt,tt,15,CARAPAZ Richard,richard-carapaz,0.28954,13.33,10,20,0.693,medium-high,inferred protected option,0.0652,0.2109,0.2163,0.2109,0.0963,1.045,"2026 #2 Tour de Suisse (2.UWT) (unknown; field-class proxy 0.88; result profile unavailable; adjusted 0.096); 2025 #8 Skoda Tour de Luxembourg (2.Pro) (itt; field 295/127; ProfileScore 25, 362vm, 26.3km; adjusted 0.076)"
1,22 August 2026,Monaco,Monaco,itt,tt,16,JOHANNESSEN Tobias Halland,tobias-halland-johannessen,0.28553,12.37,11,21,0.709,medium-high,inferred protected option,0.0689,0.1844,0.271,0.3165,0.0991,1.045,"2026 #15 Tour Auvergne - Rhône-Alpes (2.UWT) (itt; field 773/156; ProfileScore 32, 402vm, 28.4km; adjusted 0.134); 2026 #3 Tirreno-Adriatico (2.UWT) (unknown; field-class proxy 0.88; result profile unavailable; adjusted 0.088)"
1,22 August 2026,Monaco,Monaco,itt,tt,17,GALL Felix,felix-gall,0.27539,11.35,13,21,0.774,medium,inferred co-option,0.1075,0.2179,0.0589,0.3904,0.0993,1.0,"2025 #2 Tour de Suisse (2.UWT) (itt; field 642/137; ProfileScore 191, 836vm, 10.0km; adjusted 0.173); 2025 #7 Paris-Nice (2.UWT) (itt; field 868/159; ProfileScore 17, 264vm, 28.4km; adjusted 0.125)"
1,22 August 2026,Monaco,Monaco,itt,tt,18,ARMIRAIL Bruno,bruno-armirail,0.26347,10.66,14,22,0.76,medium,inferred helper; tactics unconfirmed,0.1551,0.1279,0.2097,0.8619,0.4942,0.94,"2026 #1 Tour Auvergne - Rhône-Alpes (2.UWT) (itt; field 773/156; ProfileScore 32, 402vm, 28.4km; adjusted 0.452); 2026 #4 Paris-Nice (2.UWT) (itt; field 659/164; ProfileScore 12, 212vm, 23.5km; adjusted 0.330)"
1,22 August 2026,Monaco,Monaco,itt,tt,19,PEDERSEN Mads,mads-pedersen,0.25067,9.83,15,23,0.833,medium,inferred co-option,0.0102,0.1412,0.4498,0.454,0.0599,1.0,"2025 #3 S11 Stage 11 - Bilbao › Bilbao 87k (itt; field 872/189; ProfileScore 0, 122vm, 24.1km; adjusted 0.164); 2025 #4 Paris-Nice (2.UWT) (itt; field 868/159; ProfileScore 17, 264vm, 28.4km; adjusted 0.163)"
1,22 August 2026,Monaco,Monaco,itt,tt,20,ALMEIDA João,joao-almeida,0.24526,9.8,14,26,0.62,medium-high,inferred helper; tactics unconfirmed,0.2145,0.2001,0.0,0.6841,0.2674,0.94,"2026 #9 S7 Stage 7 - La Bridoire › Grand Colombier (itt; field 773/156; ProfileScore 32, 402vm, 28.4km; adjusted 0.207); 2025 #2 Tour de Romandie (2.UWT) (itt; field-class proxy 0.88; ITT marker on PCS result; adjusted 0.196)"
1,22 August 2026,Monaco,Monaco,itt,tt,21,ROGLIČ Primož,primoz-roglic,0.22837,9.24,15,27,0.62,medium-high,inferred helper; tactics unconfirmed,0.2289,0.1921,0.0,0.7243,0.0569,0.94,2026 #4 Itzulia Basque Country (2.UWT) (itt; field-class proxy 0.88; ITT marker on PCS result; adjusted 0.366); 2026 #7 Tirreno-Adriatico (2.UWT) (itt; field-class proxy 0.88; ITT marker on PCS result; adjusted 0.282)
1,22 August 2026,Monaco,Monaco,itt,tt,22,BISIAUX Léo,leo-bisiaux,0.22337,8.74,16,28,0.615,medium-high,inferred helper; tactics unconfirmed,0.1642,0.1688,0.0,0.4202,0.3031,0.94,"2026 #6 La Vuelta Ciclista a España (2.UWT) (itt; field 837/193; ProfileScore 2, 55vm, 9.4km; adjusted 0.301); 2026 #6 Tour Auvergne - Rhône-Alpes (2.UWT) (itt; field 773/156; ProfileScore 32, 402vm, 28.4km; adjusted 0.292)"
1,22 August 2026,Monaco,Monaco,itt,tt,23,ONLEY Oscar,oscar-onley,0.21023,8.2,18,28,0.659,medium-high,inferred co-option,0.1017,0.1458,0.0,0.6508,0.0933,1.0,"2026 #1 S6 Stage 6 - Barbentane › Apt (itt; field 659/164; ProfileScore 12, 212vm, 23.5km; adjusted 0.391); 2026 #2 S7 Stage 7 - La Bridoire › Grand Colombier (itt; field 773/156; ProfileScore 32, 402vm, 28.4km; adjusted 0.380)"
1,22 August 2026,Monaco,Monaco,itt,tt,24,KUSS Sepp,sepp-kuss,0.19953,7.79,19,29,0.662,medium-high,inferred helper; tactics unconfirmed,0.0494,0.1477,0.1676,0.2065,0.1462,0.94,"2025 #2 S11 Stage 11 - Bilbao › Bilbao (itt; field 872/189; ProfileScore 0, 122vm, 24.1km; adjusted 0.179); 2026 #1 Tour de France (2.UWT) (hilly; field 1567/189; ProfileScore 16, 167vm, 19.6km; adjusted 0.046)"
1,22 August 2026,Monaco,Monaco,itt,tt,25,TULETT Ben,ben-tulett,0.15813,7.5,19,31,0.595,medium-high,inferred helper; tactics unconfirmed,0.0,0.1003,0.0,0.4278,0.3208,0.94,"2026 #1 Tour Auvergne - Rhône-Alpes (2.UWT) (itt; field 773/156; ProfileScore 32, 402vm, 28.4km; adjusted 0.452); 2025 #2 S11 Stage 11 - Bilbao › Bilbao (itt; field 872/189; ProfileScore 0, 122vm, 24.1km; adjusted 0.179)"
1,22 August 2026,Monaco,Monaco,itt,tt,26,TEJADA Harold,harold-tejada,0.14829,6.98,22,30,0.809,medium,inferred protected option,0.0154,0.0985,0.0277,0.3418,0.0473,1.045,"2026 #13 Tour Auvergne - Rhône-Alpes (2.UWT) (itt; field 773/156; ProfileScore 32, 402vm, 28.4km; adjusted 0.159); 2026 #18 Itzulia Basque Country (2.UWT) (itt; field-class proxy 0.88; ITT marker on PCS result; adjusted 0.108)"
1,22 August 2026,Monaco,Monaco,itt,tt,27,BRENNAN Matthew,matthew-brennan,0.14775,6.84,21,33,0.556,medium-high,inferred helper; tactics unconfirmed,0.0468,0.1217,0.0,0.3175,0.1113,0.94,"2026 #16 La Vuelta Ciclista a España (2.UWT) (itt; field 837/193; ProfileScore 2, 55vm, 9.4km; adjusted 0.126); 2026 #2 Santos Tour Down Under (2.UWT) (unknown; field-class proxy 0.88; result profile unavailable; adjusted 0.096)"
1,22 August 2026,Monaco,Monaco,itt,tt,28,CASTRILLO Pablo,pablo-castrillo-zapater,0.14493,6.43,23,33,0.658,medium-high,inferred co-option,0.0291,0.0584,0.0,0.7552,0.1707,1.0,"2026 #2 Volta Comunitat Valenciana (2.Pro) (itt; field 353/157; ProfileScore 0, 102vm, 23.8km; adjusted 0.307); 2026 #7 S7 Stage 7 - La Bridoire › Grand Colombier (itt; field 773/156; ProfileScore 32, 402vm, 28.4km; adjusted 0.246)"
1,22 August 2026,Monaco,Monaco,itt,tt,29,RICCITELLO Matthew,matthew-riccitello,0.14333,6.11,24,34,0.713,medium-high,inferred helper; tactics unconfirmed,0.0317,0.1187,0.0449,0.2025,0.0772,0.94,"2024 #4 Tour de Suisse (2.UWT) (itt; field 744/157; ProfileScore 160, 875vm, 15.7km; adjusted 0.074); 2026 #23 Itzulia Basque Country (2.UWT) (itt; field-class proxy 0.88; ITT marker on PCS result; adjusted 0.070)"
1,22 August 2026,Monaco,Monaco,itt,tt,30,BRENNER Marco,marco-brenner,0.14209,5.88,24,36,0.604,medium-high,inferred helper; tactics unconfirmed,0.0064,0.1272,0.0,0.2319,0.0379,0.94,"2026 #7 Tour de Pologne (2.UWT) (itt; field 462/141; ProfileScore 14, 179vm, 12.5km; adjusted 0.225); 2026 #15 S4 Stage 4 - Broc › Charmey (itt; field 447/114; ProfileScore 9, 58vm, 3.2km; adjusted 0.099)"
1,22 August 2026,Monaco,Monaco,itt,tt,31,BILBAO Pello,pello-bilbao,0.13459,5.6,25,37,0.618,medium-high,inferred protected option,0.0215,0.1027,0.0,0.3641,0.0318,1.045,"2026 #10 Tour Auvergne - Rhône-Alpes (2.UWT) (itt; field 773/156; ProfileScore 32, 402vm, 28.4km; adjusted 0.206); 2026 #17 Itzulia Basque Country (2.UWT) (itt; field-class proxy 0.88; ITT marker on PCS result; adjusted 0.118)"
1,22 August 2026,Monaco,Monaco,itt,tt,32,BELOKI Markel,markel-beloki,0.12741,5.25,28,36,0.777,medium,inferred co-option,0.0,0.0821,0.0694,0.2749,0.0679,1.0,"2026 #9 UAE Tour (2.UWT) (itt; field 353/157; ProfileScore 0, 102vm, 23.8km; adjusted 0.175); 2026 #17 Giro d'Italia (2.UWT) (itt; field-class proxy 0.88; matched saved PCS/Scorito stage profile; adjusted 0.118)"
1,22 August 2026,Monaco,Monaco,itt,tt,33,NORDHAGEN Jørgen,jorgen-nordhagen,0.12328,5.11,27,39,0.581,medium-high,inferred helper; tactics unconfirmed,0.013,0.0507,0.0,0.552,0.32,0.94,"2026 #1 S7 Stage 7 - La Bridoire › Grand Colombier (itt; field 773/156; ProfileScore 32, 402vm, 28.4km; adjusted 0.415); 2026 #4 O Gran Camiño - The Historical Route (2.1) (itt; field-class proxy 0.60; ITT marker on PCS result; adjusted 0.249)"
1,22 August 2026,Monaco,Monaco,itt,tt,34,LEKNESSUND Andreas,andreas-leknessund,0.12274,4.74,30,38,0.78,medium,inferred co-option,0.0303,0.0748,0.0476,0.3117,0.0688,1.0,"2026 #2 Tour de Pologne (2.UWT) (itt; field 36/57; 21.6km; adjusted 0.170); 2026 #15 Paris-Nice (2.UWT) (itt; field 659/164; ProfileScore 12, 212vm, 23.5km; adjusted 0.127)"
1,22 August 2026,Monaco,Monaco,itt,tt,35,RODRÍGUEZ Carlos,carlos-rodriguez-cano,0.11194,4.63,29,41,0.62,medium-high,inferred helper; tactics unconfirmed,0.0268,0.0298,0.0,0.5944,0.3811,0.94,"2026 #1 Paris-Nice (2.UWT) (itt; field 659/164; ProfileScore 12, 212vm, 23.5km; adjusted 0.428); 2026 #2 Tour Auvergne - Rhône-Alpes (2.UWT) (itt; field 773/156; ProfileScore 32, 402vm, 28.4km; adjusted 0.414)"
1,22 August 2026,Monaco,Monaco,itt,tt,36,GARCÍA PIERNA Raúl,raul-garcia-pierna,0.1058,4.32,32,40,0.76,medium,inferred helper; tactics unconfirmed,0.0,0.0215,0.091,0.6587,0.094,0.94,"2026 #2 Volta Comunitat Valenciana (2.Pro) (itt; field 353/157; ProfileScore 0, 102vm, 23.8km; adjusted 0.307); 2026 #7 Tour Auvergne - Rhône-Alpes (2.UWT) (itt; field 773/156; ProfileScore 32, 402vm, 28.4km; adjusted 0.268)"
1,22 August 2026,Monaco,Monaco,itt,tt,37,MEEUS Jordi,jordi-meeus,0.10265,4.38,29,45,0.392,high,inferred helper; tactics unconfirmed,0.0,0.0751,0.0,0.2752,0.1415,0.94,2026 #1 Ethias-Tour de Wallonie (2.Pro) (unknown; field-class proxy 0.72; result profile unavailable; adjusted 0.086); 2026 #1 4 Jours de Dunkerque / GP des Hauts de France (2.Pro) (unknown; field-class proxy 0.72; result profile unavailable; adjusted 0.086)
1,22 August 2026,Monaco,Monaco,itt,tt,38,MAS Enric,enric-mas,0.09881,4.11,32,44,0.55,medium-high,inferred helper; tactics unconfirmed,0.0418,0.0758,0.0,0.3116,0.0266,0.94,"2026 #2 Volta Ciclista a Catalunya (2.UWT) (itt; field 353/157; ProfileScore 0, 102vm, 23.8km; adjusted 0.321); 2026 #3 Vuelta a Burgos (2.Pro) (unknown; field-class proxy 0.72; result profile unavailable; adjusted 0.072)"
1,22 August 2026,Monaco,Monaco,itt,tt,39,STEINHAUSER Georg,georg-steinhauser,0.09763,3.83,34,44,0.739,medium,inferred helper; tactics unconfirmed,0.0,0.0168,0.0585,0.5906,0.208,0.94,"2026 #3 Tour Auvergne - Rhône-Alpes (2.UWT) (itt; field 773/156; ProfileScore 32, 402vm, 28.4km; adjusted 0.379); 2026 #6 Paris-Nice (2.UWT) (itt; field 659/164; ProfileScore 12, 212vm, 23.5km; adjusted 0.277)"
1,22 August 2026,Monaco,Monaco,itt,tt,40,DE PESTEL Sander,sander-de-pestel,0.09302,3.75,34,46,0.62,medium-high,inferred helper; tactics unconfirmed,0.021,0.0146,0.0,0.5783,0.3622,0.94,"2026 #3 S8 Stage 8 - Nice › Nice (itt; field 659/164; ProfileScore 12, 212vm, 23.5km; adjusted 0.329); 2026 #6 Etoile de Bessèges - Tour du Gard (2.1) (itt; field-class proxy 0.60; ITT marker on PCS result; adjusted 0.209)"
1,22 August 2026,Monaco,Monaco,itt,tt,41,PARET-PEINTRE Valentin,valentin-paret-peintre,0.08957,3.61,35,47,0.603,medium-high,inferred co-option,0.0019,0.032,0.1437,0.2937,0.0711,1.0,"2026 #12 Tour Auvergne - Rhône-Alpes (2.UWT) (itt; field 773/156; ProfileScore 32, 402vm, 28.4km; adjusted 0.173); 2026 #13 Paris-Nice (2.UWT) (itt; field 659/164; ProfileScore 12, 212vm, 23.5km; adjusted 0.151)"
1,22 August 2026,Monaco,Monaco,itt,tt,42,SIVAKOV Pavel,pavel-sivakov,0.08606,3.47,36,48,0.62,medium-high,inferred helper; tactics unconfirmed,0.0026,0.0372,0.0,0.5596,0.1062,0.94,"2026 #4 Vuelta a Andalucia Ruta Ciclista Del Sol (2.Pro) (itt; field 353/157; ProfileScore 0, 102vm, 23.8km; adjusted 0.258); 2026 #9 Tour Auvergne - Rhône-Alpes (2.UWT) (itt; field 773/156; ProfileScore 32, 402vm, 28.4km; adjusted 0.225)"
1,22 August 2026,Monaco,Monaco,itt,tt,43,UIJTDEBROEKS Cian,cian-uijtdebroeks,0.08494,3.32,37,49,0.562,medium-high,inferred helper; tactics unconfirmed,0.011,0.0596,0.0247,0.2328,0.0599,0.94,"2026 #7 Tour Auvergne - Rhône-Alpes (2.UWT) (itt; field 773/156; ProfileScore 32, 402vm, 28.4km; adjusted 0.268); 2026 #11 Itzulia Basque Country (2.UWT) (unknown; field-class proxy 0.88; result profile unavailable; adjusted 0.044)"
1,22 August 2026,Monaco,Monaco,itt,tt,44,SÜTTERLIN Jasha,jasha-sutterlin,0.0824,3.19,38,50,0.62,medium-high,inferred protected option,0.0,0.0015,0.0,0.5274,0.3373,1.045,"2026 #3 Paris-Nice (2.UWT) (itt; field 353/157; ProfileScore 0, 102vm, 23.8km; adjusted 0.295); 2026 #8 Tour Auvergne - Rhône-Alpes (2.UWT) (itt; field 773/156; ProfileScore 32, 402vm, 28.4km; adjusted 0.246)"
1,22 August 2026,Monaco,Monaco,itt,tt,45,BERNARD Julien,julien-bernard,0.08213,3.01,39,51,0.59,medium-high,inferred helper; tactics unconfirmed,0.0,0.0036,0.0,0.5135,0.4602,0.94,"2026 #2 S6 Stage 6 - Barbentane › Apt (itt; field 659/164; ProfileScore 12, 212vm, 23.5km; adjusted 0.358); 2026 #4 Tour Auvergne - Rhône-Alpes (2.UWT) (itt; field 773/156; ProfileScore 32, 402vm, 28.4km; adjusted 0.348)"
1,22 August 2026,Monaco,Monaco,itt,tt,46,ZANA Filippo,filippo-zana,0.08072,2.85,40,52,0.6,medium-high,inferred helper; tactics unconfirmed,0.0009,0.0495,0.0571,0.1811,0.1205,0.94,"2025 #2 Volta a la Comunitat Valenciana (2.Pro) (itt; field 499/166; ProfileScore 10, 291vm, 34.3km; adjusted 0.155); 2026 #2 Giro di Sardegna (2.1) (unknown; field-class proxy 0.60; result profile unavailable; adjusted 0.065)"
1,22 August 2026,Monaco,Monaco,itt,tt,47,BUITRAGO Santiago,santiago-buitrago-sanchez,0.08054,2.67,41,53,0.599,medium-high,inferred co-option,0.0203,0.0525,0.0,0.312,0.0282,1.0,"2026 #10 S8 Stage 8 - Beaufort › Plateau de Solaison - Brison (itt; field 773/156; ProfileScore 32, 402vm, 28.4km; adjusted 0.190); 2025 #7 Volta a la Comunitat Valenciana (2.Pro) (itt; field 499/166; ProfileScore 10, 291vm, 34.3km; adjusted 0.100)"
1,22 August 2026,Monaco,Monaco,itt,tt,48,AZPARREN Xabier Mikel,xabier-mikel-azparren-irurzun,0.08015,2.49,42,54,0.62,medium-high,inferred protected option,0.0192,0.0135,0.0,0.4523,0.2378,1.045,"2026 #11 Tirreno-Adriatico (2.UWT) (itt; field-class proxy 0.88; ITT marker on PCS result; adjusted 0.199); 2026 #2 Tour de France (2.UWT) (itt; field 48/54; ProfileScore 16, 348vm, 30.8km; adjusted 0.178)"
1,22 August 2026,Monaco,Monaco,itt,tt,49,MULUBRHAN Henok,henok-mulubrhan,0.07946,2.23,42,56,0.426,high,inferred co-option,0.0093,0.0441,0.0,0.2722,0.141,1.0,2025 #2 Tour of Magnificent Qinghai (2.Pro) (itt; field-class proxy 0.72; 0.0km; adjusted 0.173); 2026 #4 AlUla Tour (2.Pro) (unknown; field-class proxy 0.72; result profile unavailable; adjusted 0.066)
1,22 August 2026,Monaco,Monaco,itt,tt,50,TURNER Ben,ben-turner,0.07778,2.12,46,54,0.76,medium,inferred helper; tactics unconfirmed,0.0006,0.0252,0.0618,0.426,0.1206,0.94,"2026 #4 Volta Comunitat Valenciana (2.Pro) (itt; field 414/132; ProfileScore 9, 220vm, 17.0km; adjusted 0.269); 2025 #5 Tour de Pologne (2.UWT) (itt; field-class proxy 0.88; ITT marker on PCS result; adjusted 0.151)"
1,22 August 2026,Monaco,Monaco,itt,tt,51,DE SCHUYTENEER Steffen,steffen-de-schuyteneer,0.07764,1.84,44,58,0.477,high,inferred protected option,0.0003,0.0411,0.0,0.2284,0.1473,1.045,2026 #4 Baloise Belgium Tour (2.Pro) (unknown; field-class proxy 0.72; result profile unavailable; adjusted 0.066); 2026 #4 Tour of Hainan (2.Pro) (unknown; field-class proxy 0.72; result profile unavailable; adjusted 0.066)
1,22 August 2026,Monaco,Monaco,itt,tt,52,LAURANCE Axel,axel-laurance,0.07643,1.65,45,59,0.477,high,inferred helper; tactics unconfirmed,0.0,0.0609,0.0,0.1918,0.0559,0.94,2026 #1 Settimana Internazionale Coppi e Bartali (2.1) (unknown; field-class proxy 0.60; result profile unavailable; adjusted 0.071); 2026 #4 Ethias-Tour de Wallonie (2.Pro) (unknown; field-class proxy 0.72; result profile unavailable; adjusted 0.066)
1,22 August 2026,Monaco,Monaco,itt,tt,53,FEDOROV Yevgeniy,yevgeniy-fedorov,0.07328,1.41,47,59,0.606,medium-high,inferred helper; tactics unconfirmed,0.0133,0.0382,0.0,0.3616,0.0853,0.94,"2026 #1 Paris-Nice (2.UWT) (itt; field 16/35; ProfileScore 1, 102vm, 31.0km; adjusted 0.156); 2026 #1 DSSK (Donostia San Sebastian Klasikoa) (1.UWT) (itt; field 10/31; 30.8km; adjusted 0.145)"
1,22 August 2026,Monaco,Monaco,itt,tt,54,KÄMNA Lennard,lennard-kamna,0.0731,1.19,48,60,0.62,medium-high,inferred helper; tactics unconfirmed,0.0,0.0003,0.0,0.5291,0.3437,0.94,"2026 #2 Paris-Nice (2.UWT) (itt; field 659/164; ProfileScore 12, 212vm, 23.5km; adjusted 0.392); 2026 #4 Tour Auvergne - Rhône-Alpes (2.UWT) (itt; field 773/156; ProfileScore 32, 402vm, 28.4km; adjusted 0.348)"
1,22 August 2026,Monaco,Monaco,itt,tt,55,VERMAERKE Kevin,kevin-vermaerke,0.0723,1.08,48,62,0.507,high,inferred helper; tactics unconfirmed,0.0006,0.0481,0.0,0.2622,0.0269,0.94,"2026 #9 Tour Auvergne - Rhône-Alpes (2.UWT) (itt; field 773/156; ProfileScore 32, 402vm, 28.4km; adjusted 0.225); 2026 #11 O Gran Camiño - The Historical Route (2.1) (itt; field-class proxy 0.60; ITT marker on PCS result; adjusted 0.136)"
1,22 August 2026,Monaco,Monaco,itt,tt,56,DEBRUYNE Ramses,ramses-debruyne,0.06338,0.71,51,61,0.721,medium,inferred protected option,0.0,0.0095,0.1382,0.2414,0.046,1.045,"2026 #14 Tour Auvergne - Rhône-Alpes (2.UWT) (itt; field 773/156; ProfileScore 32, 402vm, 28.4km; adjusted 0.146); 2026 #20 Paris-Nice (2.UWT) (itt; field 659/164; ProfileScore 12, 212vm, 23.5km; adjusted 0.082)"
1,22 August 2026,Monaco,Monaco,itt,tt,57,DE LA CRUZ David,david-de-la-cruz,0.06258,0.5,53,61,0.76,medium,inferred co-option,0.0004,0.0043,0.089,0.3655,0.2058,1.0,"2026 #12 Giro d'Italia (2.UWT) (itt; field-class proxy 0.88; matched saved PCS/Scorito stage profile; adjusted 0.183); 2026 #4 National Championships Spain ME - Road Race (NC) (itt; field 48/54; ProfileScore 16, 348vm, 30.8km; adjusted 0.127)"
